game_id,game_date,matchup,team_id,is_home,wl,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,a_team_id,season_year,season_type,season
21700289,2017-11-26,BKN @ MEM,MEM,t,L,7.0,12.0,0.368,240,32.0,80.0,0.4,8.0,25.0,0.32,16.0,18.0,1.0,11.0,24.0,35,15.0,8.0,3.0,14.0,24.0,88,BRK,2017,Regular Season,2017-18
21700208,2017-11-15,IND @ MEM,MEM,t,L,7.0,7.0,0.5,240,44.0,86.0,0.512,8.0,32.0,0.25,17.0,22.0,1.0,11.0,32.0,43,29.0,5.0,10.0,14.0,19.0,113,IND,2017,Regular Season,2017-18
11700071,,NOP @ MEM,MEM,t,W,3.0,2.0,0.6,240,47.0,85.0,0.5529999999999999,14.0,26.0,0.5379999999999999,34.0,38.0,1.0,10.0,36.0,46,29.0,10.0,4.0,14.0,18.0,142,NOP,2017,Pre Season,2017-18
21701072,2018-03-22,MEM @ CHA,1610612766,t,W,32.0,41.0,0.438,240,49.0,92.0,0.5329999999999999,19.0,40.0,0.475,23.0,27.0,1.0,11.0,42.0,53,25.0,10.0,4.0,8.0,17.0,140,MEM,2017,Regular Season,2017-18
21700972,2018-03-08,BKN @ CHA,1610612766,t,L,28.0,38.0,0.424,240,41.0,85.0,0.482,4.0,19.0,0.211,25.0,30.0,1.0,6.0,30.0,36,19.0,5.0,5.0,13.0,21.0,111,BRK,2017,Regular Season,2017-18
21700892,2018-02-25,DET @ CHA,1610612766,t,W,27.0,33.0,0.45,240,42.0,88.0,0.477,16.0,35.0,0.457,14.0,23.0,1.0,13.0,34.0,47,28.0,9.0,4.0,18.0,19.0,114,DET,2017,Regular Season,2017-18
21700441,2017-12-18,NYK @ CHA,1610612766,t,W,11.0,19.0,0.3670000000000001,240,43.0,88.0,0.489,9.0,20.0,0.45,14.0,16.0,1.0,12.0,35.0,47,30.0,10.0,6.0,19.0,16.0,109,NYK,2017,Regular Season,2017-18
21700429,2017-12-16,POR @ CHA,1610612766,t,L,10.0,19.0,0.345,240,33.0,96.0,0.344,7.0,31.0,0.226,18.0,28.0,1.0,13.0,38.0,51,18.0,9.0,3.0,6.0,21.0,91,POR,2017,Regular Season,2017-18
21700377,2017-12-09,LAL @ CHA,1610612766,t,L,9.0,16.0,0.36,240,41.0,93.0,0.441,8.0,25.0,0.32,9.0,14.0,1.0,9.0,34.0,43,21.0,7.0,3.0,11.0,21.0,99,LAL,2017,Regular Season,2017-18
21700367,2017-12-08,CHI @ CHA,1610612766,t,L,9.0,15.0,0.375,265,40.0,100.0,0.4,10.0,29.0,0.345,21.0,29.0,1.0,9.0,41.0,50,22.0,7.0,11.0,11.0,20.0,111,CHI,2017,Regular Season,2017-18
21700339,2017-12-04,ORL @ CHA,1610612766,t,W,9.0,13.0,0.409,240,34.0,84.0,0.405,3.0,17.0,0.17600000000000002,33.0,40.0,1.0,11.0,41.0,52,17.0,13.0,5.0,14.0,18.0,104,ORL,2017,Regular Season,2017-18
21700207,2017-11-15,CLE @ CHA,1610612766,t,L,5.0,8.0,0.385,240,41.0,86.0,0.477,6.0,26.0,0.231,19.0,28.0,1.0,8.0,33.0,41,21.0,7.0,5.0,13.0,19.0,107,CLE,2017,Regular Season,2017-18
21700017,,ATL @ CHA,1610612766,t,W,1.0,1.0,0.5,240,37.0,86.0,0.43,11.0,36.0,0.306,24.0,30.0,1.0,12.0,45.0,57,17.0,5.0,4.0,21.0,18.0,109,ATL,2017,Regular Season,2017-18
21701032,2018-03-16,LAC @ OKC,OKC,t,W,42.0,29.0,0.5920000000000001,240,46.0,94.0,0.489,11.0,32.0,0.344,18.0,22.0,1.0,17.0,29.0,46,30.0,17.0,10.0,14.0,20.0,121,LAC,2017,Regular Season,2017-18
21700990,2018-03-10,SAS @ OKC,OKC,t,W,39.0,29.0,0.574,240,39.0,85.0,0.459,10.0,28.0,0.35700000000000004,16.0,24.0,1.0,11.0,38.0,49,24.0,8.0,4.0,15.0,13.0,104,SAS,2017,Regular Season,2017-18
21700850,2018-02-13,CLE @ OKC,OKC,t,L,32.0,26.0,0.552,240,40.0,90.0,0.444,11.0,35.0,0.314,21.0,30.0,1.0,18.0,33.0,51,23.0,6.0,3.0,9.0,20.0,112,CLE,2017,Regular Season,2017-18
21700697,2018-01-23,BKN @ OKC,OKC,t,W,27.0,20.0,0.574,240,40.0,94.0,0.426,7.0,25.0,0.28,22.0,32.0,1.0,16.0,34.0,50,12.0,7.0,4.0,4.0,18.0,109,BRK,2017,Regular Season,2017-18
21700541,2017-12-31,DAL @ OKC,OKC,t,L,20.0,17.0,0.541,240,43.0,89.0,0.483,10.0,32.0,0.313,17.0,23.0,1.0,11.0,34.0,45,18.0,4.0,4.0,11.0,20.0,113,DAL,2017,Regular Season,2017-18
21700512,2017-12-27,TOR @ OKC,OKC,t,W,20.0,15.0,0.5710000000000001,240,46.0,87.0,0.529,9.0,25.0,0.36,23.0,33.0,1.0,15.0,37.0,52,25.0,9.0,7.0,12.0,26.0,124,TOR,2017,Regular Season,2017-18
21700460,2017-12-20,UTA @ OKC,OKC,t,W,16.0,15.0,0.516,240,40.0,77.0,0.519,8.0,23.0,0.348,19.0,22.0,1.0,8.0,34.0,42,23.0,15.0,5.0,13.0,26.0,107,UTA,2017,Regular Season,2017-18
21700447,2017-12-18,DEN @ OKC,OKC,t,W,15.0,15.0,0.5,240,39.0,81.0,0.481,7.0,24.0,0.292,10.0,15.0,1.0,6.0,34.0,40,13.0,9.0,5.0,10.0,13.0,95,DEN,2017,Regular Season,2017-18
21700351,2017-12-05,UTA @ OKC,OKC,t,W,11.0,12.0,0.478,240,39.0,81.0,0.481,4.0,18.0,0.222,18.0,26.0,1.0,12.0,34.0,46,18.0,11.0,6.0,18.0,18.0,100,UTA,2017,Regular Season,2017-18
41700175,2018-04-25,UTA @ OKC,OKC,t,W,2.0,3.0,0.4,240,39.0,89.0,0.438,9.0,21.0,0.429,20.0,24.0,1.0,7.0,37.0,44,13.0,9.0,3.0,8.0,21.0,107,UTA,2017,Playoffs,2017-18
41700172,2018-04-18,UTA @ OKC,OKC,t,L,1.0,1.0,0.5,240,36.0,90.0,0.4,11.0,35.0,0.314,12.0,18.0,1.0,10.0,36.0,46,22.0,11.0,4.0,13.0,25.0,95,UTA,2017,Playoffs,2017-18
41700171,2018-04-15,UTA @ OKC,OKC,t,W,1.0,0.0,1.0,240,41.0,85.0,0.482,14.0,29.0,0.483,20.0,23.0,1.0,9.0,37.0,46,16.0,8.0,5.0,17.0,19.0,116,UTA,2017,Playoffs,2017-18
21701200,2018-04-08,ORL @ TOR,TOR,t,W,58.0,22.0,0.725,240,39.0,78.0,0.5,17.0,40.0,0.425,17.0,24.0,1.0,6.0,41.0,47,28.0,8.0,5.0,17.0,21.0,112,ORL,2017,Regular Season,2017-18
21700876,2018-02-23,MIL @ TOR,TOR,t,L,41.0,17.0,0.7070000000000001,265,43.0,90.0,0.478,9.0,34.0,0.265,24.0,26.0,1.0,5.0,32.0,37,23.0,7.0,8.0,12.0,21.0,119,MIL,2017,Regular Season,2017-18
21700847,2018-02-13,MIA @ TOR,TOR,t,W,40.0,16.0,0.7140000000000001,240,42.0,90.0,0.467,13.0,35.0,0.371,18.0,23.0,1.0,7.0,33.0,40,24.0,7.0,3.0,8.0,19.0,115,MIA,2017,Regular Season,2017-18
21700735,2018-01-28,LAL @ TOR,TOR,t,W,33.0,15.0,0.688,240,46.0,92.0,0.5,12.0,31.0,0.387,19.0,25.0,1.0,12.0,41.0,53,23.0,4.0,4.0,14.0,23.0,123,LAL,2017,Regular Season,2017-18
21700656,2018-01-17,DET @ TOR,TOR,t,W,30.0,13.0,0.698,240,34.0,80.0,0.425,11.0,31.0,0.355,17.0,23.0,1.0,12.0,37.0,49,24.0,6.0,8.0,20.0,20.0,96,DET,2017,Regular Season,2017-18
21700631,2018-01-13,GSW @ TOR,TOR,t,L,29.0,12.0,0.7070000000000001,240,45.0,93.0,0.484,8.0,25.0,0.32,27.0,32.0,1.0,14.0,30.0,44,22.0,3.0,2.0,10.0,23.0,125,GSW,2017,Regular Season,2017-18
21700615,2018-01-11,CLE @ TOR,TOR,t,W,29.0,11.0,0.725,240,53.0,106.0,0.5,18.0,42.0,0.429,9.0,13.0,1.0,18.0,45.0,63,31.0,3.0,7.0,9.0,25.0,133,CLE,2017,Regular Season,2017-18
21700599,2018-01-09,MIA @ TOR,TOR,t,L,28.0,11.0,0.718,240,35.0,90.0,0.389,7.0,21.0,0.333,12.0,15.0,1.0,7.0,30.0,37,15.0,7.0,12.0,5.0,16.0,89,MIA,2017,Regular Season,2017-18
21700480,2017-12-23,PHI @ TOR,TOR,t,W,23.0,8.0,0.742,240,35.0,85.0,0.412,9.0,27.0,0.333,23.0,26.0,1.0,7.0,36.0,43,18.0,15.0,6.0,17.0,20.0,102,PHI,2017,Regular Season,2017-18
21700221,2017-11-17,NYK @ TOR,TOR,t,W,10.0,5.0,0.667,240,44.0,78.0,0.564,9.0,26.0,0.34600000000000003,10.0,11.0,1.0,3.0,37.0,40,29.0,4.0,11.0,12.0,19.0,107,NYK,2017,Regular Season,2017-18
21700027,,PHI @ TOR,TOR,t,W,2.0,0.0,1.0,240,42.0,89.0,0.472,13.0,44.0,0.295,31.0,37.0,1.0,8.0,43.0,51,23.0,5.0,10.0,13.0,29.0,128,PHI,2017,Regular Season,2017-18
21701129,2018-03-30,CHI @ ORL,ORL,t,L,22.0,53.0,0.293,240,31.0,94.0,0.33,7.0,39.0,0.179,13.0,14.0,1.0,12.0,43.0,55,16.0,11.0,5.0,12.0,18.0,82,CHI,2017,Regular Season,2017-18
21701117,2018-03-28,BKN @ ORL,ORL,t,L,22.0,52.0,0.297,240,40.0,92.0,0.435,11.0,31.0,0.355,13.0,16.0,1.0,11.0,33.0,44,25.0,4.0,4.0,9.0,18.0,104,BRK,2017,Regular Season,2017-18
21701029,2018-03-16,BOS @ ORL,ORL,t,L,21.0,49.0,0.3,240,34.0,87.0,0.391,5.0,28.0,0.179,10.0,11.0,1.0,7.0,33.0,40,14.0,12.0,7.0,15.0,23.0,83,BOS,2017,Regular Season,2017-18
21700811,2018-02-08,ATL @ ORL,ORL,t,W,18.0,36.0,0.333,240,36.0,84.0,0.429,9.0,29.0,0.31,19.0,22.0,1.0,8.0,28.0,36,20.0,10.0,6.0,13.0,22.0,100,ATL,2017,Regular Season,2017-18
21700318,2017-12-01,GSW @ ORL,ORL,t,L,9.0,14.0,0.391,240,44.0,96.0,0.458,11.0,28.0,0.393,13.0,18.0,1.0,13.0,22.0,35,23.0,9.0,4.0,14.0,15.0,112,GSW,2017,Regular Season,2017-18
21700138,2017-11-05,BOS @ ORL,ORL,t,L,6.0,4.0,0.6,240,33.0,91.0,0.363,6.0,29.0,0.207,16.0,18.0,1.0,10.0,35.0,45,18.0,4.0,4.0,13.0,19.0,88,BOS,2017,Regular Season,2017-18
21700120,2017-11-03,CHI @ ORL,ORL,t,L,6.0,3.0,0.667,240,35.0,86.0,0.407,10.0,35.0,0.28600000000000003,3.0,5.0,1.0,7.0,31.0,38,23.0,6.0,2.0,16.0,11.0,83,CHI,2017,Regular Season,2017-18
21700005,,MIA @ ORL,ORL,t,W,1.0,0.0,1.0,240,43.0,90.0,0.478,8.0,21.0,0.381,22.0,29.0,1.0,11.0,39.0,50,22.0,8.0,9.0,14.0,18.0,116,MIA,2017,Regular Season,2017-18
11700069,,CLE @ ORL,ORL,t,L,3.0,3.0,0.5,240,42.0,88.0,0.477,11.0,33.0,0.333,11.0,18.0,1.0,10.0,31.0,41,27.0,11.0,3.0,16.0,23.0,106,CLE,2017,Pre Season,2017-18
21701051,2018-03-19,LAL @ IND,IND,t,W,41.0,30.0,0.5770000000000001,240,43.0,87.0,0.494,6.0,21.0,0.28600000000000003,18.0,19.0,1.0,9.0,35.0,44,24.0,9.0,8.0,6.0,16.0,110,LAL,2017,Regular Season,2017-18
21700874,2018-02-23,ATL @ IND,IND,t,W,34.0,25.0,0.5760000000000001,240,48.0,101.0,0.475,9.0,28.0,0.321,11.0,13.0,1.0,15.0,42.0,57,30.0,17.0,3.0,17.0,20.0,116,ATL,2017,Regular Season,2017-18
21700753,2018-01-31,MEM @ IND,IND,t,W,29.0,23.0,0.5579999999999999,240,37.0,70.0,0.529,10.0,26.0,0.385,21.0,31.0,1.0,8.0,25.0,33,20.0,16.0,4.0,14.0,15.0,105,MEM,2017,Regular Season,2017-18
21700738,2018-01-29,CHA @ IND,IND,t,W,28.0,23.0,0.5489999999999999,240,45.0,83.0,0.542,6.0,21.0,0.28600000000000003,9.0,11.0,1.0,6.0,32.0,38,28.0,7.0,3.0,12.0,19.0,105,1610612766,2017,Regular Season,2017-18
21700619,2018-01-12,CLE @ IND,IND,t,W,22.0,20.0,0.524,240,39.0,85.0,0.459,10.0,21.0,0.476,9.0,12.0,1.0,6.0,38.0,44,16.0,5.0,4.0,14.0,18.0,97,CLE,2017,Regular Season,2017-18
21700507,2017-12-27,DAL @ IND,IND,t,L,19.0,16.0,0.5429999999999999,240,38.0,79.0,0.481,10.0,25.0,0.4,8.0,10.0,1.0,7.0,32.0,39,27.0,8.0,4.0,15.0,17.0,94,DAL,2017,Regular Season,2017-18
21700442,2017-12-18,BOS @ IND,IND,t,L,17.0,14.0,0.5479999999999999,240,37.0,79.0,0.468,7.0,21.0,0.333,30.0,38.0,1.0,9.0,29.0,38,14.0,12.0,3.0,12.0,16.0,111,BOS,2017,Regular Season,2017-18
21700387,2017-12-10,DEN @ IND,IND,t,W,16.0,11.0,0.593,265,49.0,93.0,0.527,10.0,25.0,0.4,18.0,22.0,1.0,11.0,29.0,40,24.0,6.0,2.0,11.0,17.0,126,DEN,2017,Regular Season,2017-18
21700354,2017-12-06,CHI @ IND,IND,t,W,14.0,11.0,0.56,240,39.0,87.0,0.448,12.0,34.0,0.353,8.0,10.0,1.0,7.0,32.0,39,21.0,7.0,5.0,13.0,14.0,98,CHI,2017,Regular Season,2017-18
41700134,2018-04-22,CLE @ IND,IND,t,L,2.0,2.0,0.5,240,40.0,93.0,0.43,12.0,33.0,0.364,8.0,13.0,1.0,11.0,36.0,47,25.0,7.0,5.0,8.0,19.0,100,CLE,2017,Playoffs,2017-18
21701205,2018-04-09,CHI @ BKN,BRK,t,W,28.0,53.0,0.34600000000000003,240,41.0,82.0,0.5,18.0,42.0,0.429,14.0,15.0,1.0,6.0,32.0,38,32.0,8.0,10.0,17.0,15.0,114,CHI,2017,Regular Season,2017-18
21701148,2018-04-01,DET @ BKN,BRK,t,L,25.0,52.0,0.325,240,37.0,87.0,0.425,12.0,43.0,0.279,10.0,15.0,1.0,6.0,34.0,40,23.0,5.0,5.0,12.0,22.0,96,DET,2017,Regular Season,2017-18
21701067,2018-03-21,CHA @ BKN,BRK,t,L,23.0,49.0,0.319,240,39.0,93.0,0.419,13.0,37.0,0.35100000000000003,14.0,21.0,1.0,10.0,36.0,46,22.0,6.0,11.0,12.0,36.0,105,1610612766,2017,Regular Season,2017-18
21700899,2018-02-26,CHI @ BKN,BRK,t,W,20.0,41.0,0.328,240,40.0,90.0,0.444,16.0,42.0,0.381,8.0,8.0,1.0,7.0,41.0,48,31.0,4.0,9.0,15.0,20.0,104,CHI,2017,Regular Season,2017-18
21700800,2018-02-06,HOU @ BKN,BRK,t,L,19.0,36.0,0.345,240,41.0,85.0,0.482,16.0,35.0,0.457,15.0,17.0,1.0,10.0,27.0,37,24.0,8.0,2.0,11.0,17.0,113,HOU,2017,Regular Season,2017-18
21700668,2018-01-19,MIA @ BKN,BRK,t,W,17.0,29.0,0.37,240,36.0,76.0,0.474,9.0,32.0,0.281,20.0,26.0,1.0,10.0,34.0,44,20.0,5.0,8.0,14.0,18.0,101,MIA,2017,Regular Season,2017-18
21700557,2018-01-03,MIN @ BKN,BRK,t,W,15.0,23.0,0.395,240,37.0,72.0,0.514,14.0,30.0,0.467,10.0,11.0,1.0,4.0,34.0,38,22.0,3.0,3.0,19.0,23.0,98,MIN,2017,Regular Season,2017-18
21700414,2017-12-14,NYK @ BKN,BRK,t,L,11.0,16.0,0.407,240,37.0,83.0,0.446,12.0,42.0,0.28600000000000003,18.0,23.0,1.0,11.0,32.0,43,21.0,10.0,4.0,17.0,21.0,104,NYK,2017,Regular Season,2017-18
21700376,2017-12-09,MIA @ BKN,BRK,t,L,10.0,15.0,0.4,240,33.0,81.0,0.407,7.0,27.0,0.259,16.0,19.0,1.0,8.0,35.0,43,16.0,3.0,3.0,12.0,17.0,89,MIA,2017,Regular Season,2017-18
21700038,,ATL @ BKN,BRK,t,W,2.0,1.0,0.667,240,41.0,87.0,0.471,11.0,27.0,0.407,23.0,34.0,1.0,13.0,38.0,51,27.0,12.0,8.0,18.0,27.0,116,ATL,2017,Regular Season,2017-18
11700045,,NYK @ BKN,BRK,t,W,3.0,0.0,1.0,240,42.0,84.0,0.5,14.0,33.0,0.424,19.0,27.0,1.0,10.0,38.0,48,29.0,13.0,8.0,17.0,27.0,117,NYK,2017,Pre Season,2017-18
11700028,,MIA @ BKN,BRK,t,W,2.0,0.0,1.0,240,42.0,93.0,0.452,10.0,29.0,0.345,13.0,16.0,1.0,15.0,45.0,60,22.0,8.0,2.0,23.0,25.0,107,MIA,2017,Pre Season,2017-18
21701159,2018-04-03,ORL @ NYK,NYK,t,L,27.0,51.0,0.34600000000000003,240,30.0,86.0,0.349,4.0,27.0,0.14800000000000002,9.0,12.0,1.0,7.0,35.0,42,17.0,5.0,9.0,11.0,17.0,73,ORL,2017,Regular Season,2017-18
21700550,2018-01-02,SAS @ NYK,NYK,t,L,18.0,19.0,0.486,240,35.0,87.0,0.402,7.0,22.0,0.318,14.0,18.0,1.0,12.0,38.0,50,21.0,5.0,7.0,14.0,23.0,91,SAS,2017,Regular Season,2017-18
21700468,2017-12-21,BOS @ NYK,NYK,t,W,17.0,14.0,0.5479999999999999,240,36.0,79.0,0.456,8.0,14.0,0.5710000000000001,22.0,26.0,1.0,11.0,38.0,49,13.0,8.0,3.0,17.0,20.0,102,BOS,2017,Regular Season,2017-18
21700431,2017-12-16,OKC @ NYK,NYK,t,W,16.0,13.0,0.552,240,38.0,69.0,0.551,14.0,23.0,0.609,21.0,26.0,1.0,6.0,29.0,35,21.0,9.0,3.0,13.0,22.0,111,OKC,2017,Regular Season,2017-18
21700390,2017-12-10,ATL @ NYK,NYK,t,W,13.0,13.0,0.5,240,39.0,80.0,0.488,5.0,17.0,0.294,28.0,34.0,1.0,6.0,27.0,33,16.0,9.0,4.0,12.0,30.0,111,ATL,2017,Regular Season,2017-18
21700152,2017-11-07,CHA @ NYK,NYK,t,W,6.0,4.0,0.6,240,45.0,75.0,0.6,12.0,25.0,0.48,16.0,21.0,1.0,6.0,29.0,35,29.0,5.0,5.0,16.0,19.0,118,1610612766,2017,Regular Season,2017-18
21700124,2017-11-03,PHX @ NYK,NYK,t,W,4.0,4.0,0.5,240,45.0,87.0,0.517,8.0,26.0,0.308,22.0,25.0,1.0,9.0,40.0,49,24.0,5.0,7.0,12.0,24.0,120,PHO,2017,Regular Season,2017-18
21700111,2017-11-01,HOU @ NYK,NYK,t,L,3.0,4.0,0.429,240,39.0,90.0,0.433,8.0,26.0,0.308,11.0,13.0,1.0,6.0,36.0,42,23.0,8.0,1.0,19.0,18.0,97,HOU,2017,Regular Season,2017-18
11700075,,WAS @ NYK,NYK,t,L,0.0,5.0,0.0,240,38.0,83.0,0.458,11.0,27.0,0.407,16.0,22.0,1.0,8.0,24.0,32,18.0,11.0,4.0,15.0,23.0,103,WAS,2017,Pre Season,2017-18
21701154,2018-04-01,MEM @ POR,POR,t,W,48.0,29.0,0.623,240,39.0,84.0,0.464,12.0,38.0,0.316,23.0,25.0,1.0,8.0,35.0,43,28.0,9.0,2.0,13.0,15.0,113,MEM,2017,Regular Season,2017-18
21701028,2018-03-15,CLE @ POR,POR,t,W,42.0,26.0,0.618,240,43.0,96.0,0.448,12.0,35.0,0.343,15.0,19.0,1.0,13.0,37.0,50,26.0,4.0,3.0,7.0,15.0,113,CLE,2017,Regular Season,2017-18
21700925,2018-03-01,MIN @ POR,POR,t,W,36.0,26.0,0.581,240,36.0,92.0,0.391,9.0,30.0,0.3,27.0,35.0,1.0,12.0,36.0,48,17.0,9.0,6.0,8.0,18.0,108,MIN,2017,Regular Season,2017-18
21700759,2018-01-31,CHI @ POR,POR,t,W,29.0,22.0,0.569,240,46.0,82.0,0.561,15.0,32.0,0.469,17.0,20.0,1.0,5.0,43.0,48,21.0,3.0,6.0,17.0,19.0,124,CHI,2017,Regular Season,2017-18
21700708,2018-01-24,MIN @ POR,POR,t,W,26.0,22.0,0.542,240,45.0,82.0,0.5489999999999999,17.0,31.0,0.5479999999999999,16.0,21.0,1.0,6.0,31.0,37,24.0,4.0,1.0,10.0,16.0,123,MIN,2017,Regular Season,2017-18
21700333,2017-12-02,NOP @ POR,POR,t,L,13.0,10.0,0.565,240,47.0,105.0,0.448,11.0,35.0,0.314,11.0,11.0,1.0,9.0,35.0,44,20.0,6.0,3.0,4.0,17.0,116,NOP,2017,Regular Season,2017-18
21700316,2017-11-30,MIL @ POR,POR,t,L,13.0,9.0,0.591,240,35.0,83.0,0.422,6.0,23.0,0.261,15.0,17.0,1.0,10.0,40.0,50,17.0,5.0,3.0,19.0,14.0,91,MIL,2017,Regular Season,2017-18
21700213,2017-11-15,ORL @ POR,POR,t,W,8.0,6.0,0.5710000000000001,240,38.0,87.0,0.4370000000000001,14.0,27.0,0.519,9.0,13.0,1.0,10.0,31.0,41,21.0,7.0,2.0,12.0,10.0,99,ORL,2017,Regular Season,2017-18
21700176,2017-11-10,BKN @ POR,POR,t,L,6.0,6.0,0.5,240,40.0,95.0,0.421,8.0,23.0,0.348,9.0,11.0,1.0,12.0,39.0,51,17.0,4.0,4.0,10.0,17.0,97,BRK,2017,Regular Season,2017-18
21700118,2017-11-02,LAL @ POR,POR,t,W,5.0,4.0,0.556,240,40.0,86.0,0.465,9.0,22.0,0.409,24.0,27.0,1.0,10.0,31.0,41,22.0,7.0,4.0,12.0,21.0,113,LAL,2017,Regular Season,2017-18
21700068,,LAC @ POR,POR,t,L,3.0,2.0,0.6,240,35.0,89.0,0.393,14.0,31.0,0.452,19.0,22.0,1.0,16.0,28.0,44,19.0,5.0,4.0,9.0,26.0,103,LAC,2017,Regular Season,2017-18
11700074,,MAC @ POR,POR,t,W,5.0,1.0,0.833,240,43.0,78.0,0.551,15.0,25.0,0.6,28.0,36.0,1.0,10.0,31.0,41,26.0,6.0,6.0,12.0,17.0,129,93,2017,Pre Season,2017-18
11700027,,TOR @ POR,POR,t,W,1.0,1.0,0.5,240,38.0,89.0,0.4270000000000001,14.0,35.0,0.4,16.0,18.0,1.0,11.0,36.0,47,20.0,9.0,6.0,17.0,30.0,106,TOR,2017,Pre Season,2017-18
41700161,2018-04-14,NOP @ POR,POR,t,L,0.0,1.0,0.0,240,37.0,98.0,0.378,12.0,39.0,0.308,9.0,12.0,1.0,15.0,37.0,52,17.0,10.0,6.0,12.0,15.0,95,NOP,2017,Playoffs,2017-18
21701077,2018-03-22,ATL @ SAC,SAC,t,W,24.0,49.0,0.329,240,43.0,93.0,0.462,10.0,21.0,0.476,9.0,9.0,1.0,12.0,39.0,51,28.0,8.0,9.0,13.0,18.0,105,ATL,2017,Regular Season,2017-18
21701057,2018-03-19,DET @ SAC,SAC,t,L,23.0,49.0,0.319,240,40.0,88.0,0.455,6.0,23.0,0.261,4.0,9.0,0.0,8.0,31.0,39,23.0,7.0,3.0,13.0,21.0,90,DET,2017,Regular Season,2017-18
21700906,2018-02-26,MIN @ SAC,SAC,t,L,18.0,42.0,0.3,240,40.0,84.0,0.476,8.0,22.0,0.364,12.0,13.0,1.0,8.0,23.0,31,22.0,5.0,3.0,14.0,23.0,100,MIN,2017,Regular Season,2017-18
21700552,2018-01-02,CHA @ SAC,SAC,t,L,12.0,25.0,0.324,240,45.0,87.0,0.517,7.0,17.0,0.412,14.0,18.0,1.0,16.0,31.0,47,22.0,1.0,2.0,15.0,19.0,111,1610612766,2017,Regular Season,2017-18
21700543,2017-12-31,MEM @ SAC,SAC,t,L,12.0,24.0,0.333,240,37.0,86.0,0.43,9.0,24.0,0.375,13.0,25.0,1.0,12.0,30.0,42,20.0,6.0,2.0,16.0,21.0,96,MEM,2017,Regular Season,2017-18
21700385,2017-12-10,TOR @ SAC,SAC,t,L,8.0,18.0,0.308,240,35.0,73.0,0.479,10.0,23.0,0.435,7.0,14.0,0.0,7.0,35.0,42,15.0,7.0,6.0,21.0,17.0,87,TOR,2017,Regular Season,2017-18
21700302,2017-11-28,MIL @ SAC,SAC,t,L,6.0,15.0,0.28600000000000003,240,31.0,77.0,0.403,5.0,17.0,0.294,20.0,29.0,1.0,9.0,31.0,40,15.0,5.0,2.0,16.0,21.0,87,MIL,2017,Regular Season,2017-18
21700251,2017-11-20,DEN @ SAC,SAC,t,L,4.0,13.0,0.235,240,41.0,86.0,0.477,8.0,20.0,0.4,8.0,9.0,1.0,5.0,29.0,34,18.0,11.0,6.0,12.0,19.0,98,DEN,2017,Regular Season,2017-18
21700158,2017-11-07,OKC @ SAC,SAC,t,W,2.0,8.0,0.2,240,37.0,79.0,0.468,9.0,24.0,0.375,11.0,12.0,1.0,5.0,42.0,47,21.0,6.0,5.0,23.0,24.0,94,OKC,2017,Regular Season,2017-18
21700069,,NOP @ SAC,SAC,t,L,1.0,4.0,0.2,240,38.0,81.0,0.469,7.0,20.0,0.35,23.0,25.0,1.0,5.0,29.0,34,25.0,7.0,5.0,12.0,17.0,106,NOP,2017,Regular Season,2017-18
21700013,,HOU @ SAC,SAC,t,L,0.0,1.0,0.0,240,42.0,88.0,0.477,8.0,23.0,0.348,8.0,10.0,1.0,9.0,33.0,42,19.0,5.0,4.0,17.0,20.0,100,HOU,2017,Regular Season,2017-18
11700053,,POR @ SAC,SAC,t,L,1.0,3.0,0.25,240,32.0,82.0,0.39,8.0,19.0,0.421,11.0,14.0,1.0,9.0,30.0,39,20.0,5.0,4.0,17.0,30.0,83,POR,2017,Pre Season,2017-18
21701198,2018-04-08,DAL @ PHI,PHI,t,W,50.0,30.0,0.625,240,46.0,91.0,0.505,8.0,27.0,0.29600000000000004,9.0,14.0,1.0,9.0,43.0,52,32.0,9.0,4.0,10.0,19.0,109,DAL,2017,Regular Season,2017-18
21701118,2018-03-28,NYK @ PHI,PHI,t,W,44.0,30.0,0.595,240,45.0,98.0,0.459,9.0,31.0,0.29,19.0,27.0,1.0,14.0,44.0,58,34.0,9.0,3.0,12.0,19.0,118,NYK,2017,Regular Season,2017-18
21701052,2018-03-19,CHA @ PHI,PHI,t,W,39.0,30.0,0.565,240,42.0,93.0,0.452,18.0,44.0,0.409,6.0,8.0,1.0,17.0,43.0,60,30.0,5.0,6.0,15.0,22.0,108,1610612766,2017,Regular Season,2017-18
21701030,2018-03-16,BKN @ PHI,PHI,t,W,38.0,30.0,0.5589999999999999,240,43.0,95.0,0.453,12.0,27.0,0.444,22.0,26.0,1.0,13.0,29.0,42,30.0,9.0,3.0,5.0,21.0,120,BRK,2017,Regular Season,2017-18
21700927,2018-03-02,CHA @ PHI,PHI,t,W,34.0,27.0,0.557,240,41.0,81.0,0.506,9.0,24.0,0.375,19.0,25.0,1.0,7.0,39.0,46,27.0,4.0,5.0,11.0,22.0,110,1610612766,2017,Regular Season,2017-18
21700678,2018-01-20,MIL @ PHI,PHI,t,W,22.0,20.0,0.524,240,45.0,85.0,0.529,10.0,25.0,0.4,16.0,19.0,1.0,11.0,34.0,45,32.0,9.0,4.0,16.0,18.0,116,MIL,2017,Regular Season,2017-18
